0000089-80.2019.8.17.8126,/TJPE/CAPITAL/PRESIDENCIA/0000089-80.2019.8.17.8126
0000907-17.2019.8.17.8131,/TJPE/CAPITAL/PRESIDENCIA/0000907-17.2019.8.17.8131
0005302-16.2019.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0005302-16.2019.8.17.0480
0063272-10.2006.8.17.0001,/TJPE/CAPITAL/EXECUCAO FISCAL/VEFI01/0063272-10.2006.8.17.0001
0000942-25.2006.8.17.8036,/TJPE/CAPITAL/PRESIDENCIA/0000942-25.2006.8.17.8036
0003179-37.2011.8.17.8010,/TJPE/CAPITAL/PRESIDENCIA/0003179-37.2011.8.17.8010
0000198-02.2011.8.17.8118,/TJPE/CAPITAL/PRESIDENCIA/0000198-02.2011.8.17.8118
0000528-35.2020.8.17.1020,/TJPE/SERTAO2/OURICURI/CRIMINAL/VCRIM/0000528-35.2020.8.17.1020
0001907-83.2013.8.17.8027,/TJPE/CAPITAL/PRESIDENCIA/0001907-83.2013.8.17.8027
0005512-38.2017.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0005512-38.2017.8.17.0480
0001721-36.2008.8.17.8027,/TJPE/CAPITAL/PRESIDENCIA/0001721-36.2008.8.17.8027
0000091-02.2020.8.17.0500,/TJPE/AGRESTE1/GRAVATA/CRIMINAL/VCRIM/0000091-02.2020.8.17.0500
0004696-85.2019.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0004696-85.2019.8.17.0480
0000081-80.2021.8.17.8014,/TJPE/CAPITAL/PRESIDENCIA/0000081-80.2021.8.17.8014
0000471-94.2020.8.17.8043,/TJPE/CAPITAL/PRESIDENCIA/0000471-94.2020.8.17.8043
0000213-77.2006.8.17.0250,/TJPE/SERTAO1/BELEM SAO FRANCISCO/VUNICA/0000213-77.2006.8.17.0250
0000252-58.2012.8.17.8012,/TJPE/CAPITAL/PRESIDENCIA/0000252-58.2012.8.17.8012
0006110-26.2016.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0006110-26.2016.8.17.0480
0003105-25.2018.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0003105-25.2018.8.17.0480
0055590-82.1998.8.17.0001,/TJPE/CAPITAL/EXECUCAO FISCAL/VEFI01/0055590-82.1998.8.17.0001
0000218-20.2020.8.17.1120,/TJPE/SERTAO1/PETROLANDIA/CIVEL/VCIV02/0000218-20.2020.8.17.1120
0005716-91.2019.8.17.0810,/TJPE/RMR/JABOATAO/CRIMINAL/VCRIM03/0005716-91.2019.8.17.0810
0068365-70.2014.8.17.0001,/TJPE/CAPITAL/FAZENDA/VFAZ05/0068365-70.2014.8.17.0001
0062520-39.1986.8.17.0001,/TJPE/CAPITAL/ACIDENTES DE TRABALHO/VACTRAB01/0062520-39.1986.8.17.0001
0007139-48.2015.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0007139-48.2015.8.17.0480
0005230-74.2020.8.17.0001,/TJPE/CAPITAL/CRIMINAL/VCRIM15/0005230-74.2020.8.17.0001
0000159-09.2019.8.17.1430,/TJPE/AGRESTE1/TACAIMBO/VUNICA/0000159-09.2019.8.17.1430
0002341-68.2020.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0002341-68.2020.8.17.0480
0000498-93.2017.8.17.1120,/TJPE/SERTAO1/PETROLANDIA/CIVEL/VCIV01/0000498-93.2017.8.17.1120
0000021-52.2013.8.17.1430,/TJPE/AGRESTE1/TACAIMBO/VUNICA/0000021-52.2013.8.17.1430
0001193-89.2021.8.17.0220,/TJPE/AGRESTE2/ARCOVERDE/CRIMINAL/VCRIM/0001193-89.2021.8.17.0220
0042311-09.2010.8.17.0001,/TJPE/CAPITAL/CRIMINAL/VCRIM13/0042311-09.2010.8.17.0001
0001433-45.2017.8.17.1020,/TJPE/SERTAO2/OURICURI/CRIMINAL/VCRIM/0001433-45.2017.8.17.1020
0001380-35.2015.8.17.1020,/TJPE/SERTAO2/OURICURI/CRIMINAL/VCRIM/0001380-35.2015.8.17.1020
0004307-08.2016.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0004307-08.2016.8.17.0480
0000511-32.2021.8.17.8014,/TJPE/CAPITAL/PRESIDENCIA/0000511-32.2021.8.17.8014
0050651-59.1998.8.17.0001,/TJPE/CAPITAL/EXECUCAO FISCAL/VEFI01/0050651-59.1998.8.17.0001
0014074-07.2015.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0014074-07.2015.8.17.0480
0000278-09.2019.8.17.0350,/TJPE/ZONA_DA_MATA/TRACUNHAEM/VUNICA/0000278-09.2019.8.17.0350
0001537-66.2021.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0001537-66.2021.8.17.0480
0015248-56.2012.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0015248-56.2012.8.17.0480
0000671-57.2021.8.17.8014,/TJPE/CAPITAL/PRESIDENCIA/0000671-57.2021.8.17.8014
0001664-39.2012.8.17.1120,/TJPE/SERTAO1/PETROLANDIA/CIVEL/VCIV01/0001664-39.2012.8.17.1120
0001057-03.2010.8.17.8102,/TJPE/CAPITAL/PRESIDENCIA/0001057-03.2010.8.17.8102
0006914-67.2011.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0006914-67.2011.8.17.0480
0002075-33.2008.8.17.8004,/TJPE/CAPITAL/PRESIDENCIA/0002075-33.2008.8.17.8004
0026474-64.2017.8.17.0001,/TJPE/CAPITAL/CRIMINAL/VCRIM06/0026474-64.2017.8.17.0001
0000490-24.2017.8.17.0310,/TJPE/AGRESTE1/BOM JARDIM/VUNICA/0000490-24.2017.8.17.0310
0000419-64.2021.8.17.8043,/TJPE/CAPITAL/PRESIDENCIA/0000419-64.2021.8.17.8043
0000865-66.2009.8.17.0290,/TJPE/SERTAO2/BODOCO/VUNICA/0000865-66.2009.8.17.0290
0000067-27.1992.8.17.0250,/TJPE/SERTAO1/BELEM SAO FRANCISCO/VUNICA/0000067-27.1992.8.17.0250
0000843-68.2019.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0000843-68.2019.8.17.0480
0039138-16.2006.8.17.0001,/TJPE/CAPITAL/SUCESSOES/VSUCES02/0039138-16.2006.8.17.0001
0002478-36.2007.8.17.8004,/TJPE/CAPITAL/PRESIDENCIA/0002478-36.2007.8.17.8004
0000228-15.2019.8.17.1180,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0000228-15.2019.8.17.1180
0008472-04.1984.8.17.0001,/TJPE/CAPITAL/ACIDENTES DE TRABALHO/VACTRAB01/0008472-04.1984.8.17.0001
0000175-68.2021.8.17.8033,/TJPE/CAPITAL/PRESIDENCIA/0000175-68.2021.8.17.8033
0000080-72.2020.8.17.8033,/TJPE/CAPITAL/PRESIDENCIA/0000080-72.2020.8.17.8033
0009492-95.2014.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0009492-95.2014.8.17.0480
0000186-34.2020.8.17.8033,/TJPE/CAPITAL/PRESIDENCIA/0000186-34.2020.8.17.8033
0004530-68.2008.8.17.8004,/TJPE/CAPITAL/PRESIDENCIA/0004530-68.2008.8.17.8004
0000670-55.2020.8.17.8031,/TJPE/CAPITAL/PRESIDENCIA/0000670-55.2020.8.17.8031
0006837-48.2017.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0006837-48.2017.8.17.0480
0000065-55.2018.8.17.1120,/TJPE/SERTAO1/PETROLANDIA/CIVEL/VCIV01/0000065-55.2018.8.17.1120
0006221-32.2016.8.17.0990,/TJPE/RMR/OLINDA/CRIMINAL/VCRIM01/0006221-32.2016.8.17.0990
0001440-03.2020.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0001440-03.2020.8.17.0480
